model,calibration,pr_auc_mean,pr_auc_sd,roc_auc_mean,brier_mean,logloss_mean,recall_005,precision_005,value_capture_005,recall_01,precision_01,value_capture_01
lightgbm,platt,0.6970859588754429,0.006897223930579181,0.947745133636823,0.017058831545680175,0.06931619338091988,0.14050886220697542,0.983,0.08414746826496035,0.27044025157232704,0.946,0.17849777279389367
lightgbm,raw,0.6970859588754429,0.006897223930579181,0.947745133636823,0.05565110098300463,0.20998794144796185,0.14050886220697542,0.983,0.08414746826496035,0.27044025157232704,0.946,0.17849777279389367
logistic,platt,0.41619578547500324,0.011359162667816815,0.8618107142563864,0.025740907943551505,0.10832929323838994,0.1262149799885649,0.883,0.07168572123344592,0.22012578616352202,0.77,0.13654088779930154
logistic,raw,0.4162155098370534,0.011387732944563824,0.8618106920383772,0.13131233373764822,0.4296228391530755,0.1262149799885649,0.883,0.07168572123344592,0.22012578616352202,0.77,0.13654088779930154
xgboost,platt,0.7036151397181606,0.01038290331648082,0.9380293507368007,0.016560913063585758,0.06978175044059753,0.14208118925100058,0.994,0.09785325163675676,0.279874213836478,0.979,0.19400448790522457
xgboost,raw,0.7036151397181606,0.010382903316480794,0.9380293492556001,0.017034318763762712,0.07136447727680206,0.14208118925100058,0.994,0.09785325163675676,0.279874213836478,0.979,0.19400448790522457
