model,calibration,pr_auc_mean,pr_auc_sd,roc_auc_mean,brier_mean,logloss_mean,recall_005,precision_005,value_capture_005,recall_01,precision_01,value_capture_01,temporal_pr_auc,temporal_roc_auc,temporal_brier,temporal_logloss,pr_auc_optimism,roc_auc_optimism,brier_difference,logloss_difference
lightgbm,platt,0.6970859588754429,0.006897223930579181,0.947745133636823,0.017058831545680175,0.06931619338091988,0.14050886220697542,0.983,0.08414746826496035,0.27044025157232704,0.946,0.17849777279389367,0.5088527911550533,0.89712364947353,0.022720591187443,0.09397312235560529,0.18823316772038956,0.05062148416329304,-0.005661759641762826,-0.02465692897468541
lightgbm,raw,0.6970859588754429,0.006897223930579181,0.947745133636823,0.05565110098300463,0.20998794144796185,0.14050886220697542,0.983,0.08414746826496035,0.27044025157232704,0.946,0.17849777279389367,0.5088527911550533,0.89712364947353,0.057046520627653224,0.21417815198167692,0.18823316772038956,0.05062148416329304,-0.0013954196446485934,-0.004190210533715072
logistic,platt,0.41619578547500324,0.011359162667816815,0.8618107142563864,0.025740907943551505,0.10832929323838994,0.1262149799885649,0.883,0.07168572123344592,0.22012578616352202,0.77,0.13654088779930154,0.2992793812764258,0.8306600396742092,0.03385916073006018,0.1705288661556411,0.11691640419857746,0.03115067458217724,-0.008118252786508674,-0.06219957291725117
logistic,raw,0.4162155098370534,0.011387732944563824,0.8618106920383772,0.13131233373764822,0.4296228391530755,0.1262149799885649,0.883,0.07168572123344592,0.22012578616352202,0.77,0.13654088779930154,0.29941291590769126,0.830647472142689,0.13379883878829668,0.5406565091999216,0.11680259392936215,0.031163219895688266,-0.0024865050506484576,-0.11103367004684611
xgboost,platt,0.7036151397181606,0.01038290331648082,0.9380293507368007,0.016560913063585758,0.06978175044059753,0.14208118925100058,0.994,0.09785325163675676,0.279874213836478,0.979,0.19400448790522457,0.5318675589667331,0.9064139340808872,0.022137607913464277,0.0914502181112766,0.1717475807514275,0.0316154166559135,-0.005576694849878518,-0.021668467670679065
xgboost,raw,0.7036151397181606,0.010382903316480794,0.9380293492556001,0.017034318763762712,0.07136447727680206,0.14208118925100058,0.994,0.09785325163675676,0.279874213836478,0.979,0.19400448790522457,0.5318675589667331,0.9064139326776148,0.022104231640696498,0.0913036540150642,0.1717475807514275,0.03161541657798528,-0.005069912876933785,-0.019939176738262135
