n_test,prevalence,pr_auc,roc_auc,brier,logloss,precision_0.005,recall_0.005,value_capture_0.005,precision_0.01,recall_0.01,value_capture_0.01,precision_0.02,recall_0.02,value_capture_0.02,replicate,seed,model,calibration,train_n,val_n,cal_n
50000,0.03498,0.4009802472222144,0.8572943306430109,0.1312889728623502,0.4296267526629844,0.856,0.12235563178959405,0.0646475980454963,0.74,0.2115494568324757,0.1383378287096885,0.566,0.32361349342481416,0.2710041052309732,1,20260816,logistic,raw,300000,40000,40000
50000,0.03498,0.4009802472222144,0.8572943306430109,0.026183576554342326,0.10989656542692694,0.856,0.12235563178959405,0.0646475980454963,0.74,0.2115494568324757,0.1383378287096885,0.566,0.32361349342481416,0.2710041052309732,1,20260816,logistic,platt,300000,40000,40000
50000,0.03498,0.6972742501432351,0.9486960511037439,0.05541016359533832,0.20940005636093958,0.976,0.13950829045168667,0.07874962622203721,0.944,0.2698684962835906,0.1894704568567226,0.855,0.4888507718696398,0.4149672728838894,1,20260816,lightgbm,raw,300000,40000,40000
50000,0.03498,0.6972742501432351,0.9486960511037439,0.017105533880384213,0.0689881565246171,0.976,0.13950829045168667,0.07874962622203721,0.944,0.2698684962835906,0.1894704568567226,0.855,0.4888507718696398,0.4149672728838894,1,20260816,lightgbm,platt,300000,40000,40000
50000,0.03498,0.6977876722805293,0.937992297022103,0.017318900674581528,0.07222586870193481,0.988,0.14122355631789593,0.09575381114411322,0.974,0.27844482561463696,0.19187485273567242,0.873,0.49914236706689535,0.4361956047293403,1,20260816,xgboost,raw,300000,40000,40000
50000,0.03498,0.6977876722805293,0.9379923029469054,0.016778208315372467,0.07039373368024826,0.988,0.14122355631789593,0.09575381114411322,0.974,0.27844482561463696,0.19187485273567242,0.873,0.49914236706689535,0.4361956047293403,1,20260816,xgboost,platt,300000,40000,40000
50000,0.03498,0.4264091541787129,0.8652551914926377,0.12958423105658076,0.4249968199442985,0.908,0.1297884505431675,0.0642969629537992,0.782,0.22355631789594055,0.1186266674507684,0.585,0.3344768439108062,0.23356420110451284,2,20260916,logistic,raw,300000,40000,40000
50000,0.03498,0.4262735249345343,0.8652552092670451,0.02547447734544654,0.10694143542773127,0.908,0.1297884505431675,0.0642969629537992,0.782,0.22355631789594055,0.1186266674507684,0.585,0.3344768439108062,0.23356420110451284,2,20260916,logistic,platt,300000,40000,40000
50000,0.03498,0.69146326451905,0.9460157948835278,0.05567728284950817,0.2099053724238815,0.984,0.14065180102915953,0.08289482944031552,0.946,0.27044025157232704,0.15836370892303586,0.858,0.49056603773584906,0.4296006336820925,2,20260916,lightgbm,raw,300000,40000,40000
50000,0.03498,0.69146326451905,0.9460157948835278,0.017215554741548008,0.07025008613235892,0.984,0.14065180102915953,0.08289482944031552,0.946,0.27044025157232704,0.15836370892303586,0.858,0.49056603773584906,0.4296006336820925,2,20260916,lightgbm,platt,300000,40000,40000
50000,0.03498,0.6949302588555762,0.9368661105670761,0.01735389418900013,0.07247596979141235,0.992,0.14179531160663236,0.08546120226953646,0.97,0.2773013150371641,0.16768629217315734,0.873,0.49914236706689535,0.44601288836654035,2,20260916,xgboost,raw,300000,40000,40000
50000,0.03498,0.6949302588555762,0.936866110567076,0.01685195229947567,0.07104776054620743,0.992,0.14179531160663236,0.08546120226953646,0.97,0.2773013150371641,0.16768629217315734,0.873,0.49914236706689535,0.44601288836654035,2,20260916,xgboost,platt,300000,40000,40000
50000,0.03498,0.41424695289720614,0.861871951533599,0.13261759676772228,0.4334755557569846,0.884,0.126357918810749,0.07362596733806373,0.774,0.22126929674099485,0.13500709417044374,0.572,0.3270440251572327,0.260983894220143,3,20261016,logistic,raw,300000,40000,40000
