fold,model,calibration,success,rank_violations,calibrated_ties,spearman_raw_calibrated,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss,method,lambda1,lambda0,penalty,outer_penalty,status,message,n_iter,objective,gradient_norm,boundary_hit,selected_penalty
2,xgboost,bgb,True,0,314,1.0,,,1.8470239324226576,,,0.7270816742191363,0.6557209329362087,1.1298616229847314,0.4095835204996661,2011.2070512530188,4032.4141025060376,4071.9315402687184,,,,,,,,,,,,,,,
2,xgboost,opbgb_symmetric,True,0,314,1.0,,,,,,,,,,,,,0.2,0.2,0.07366543090511166,,,,,,,,,,,,
2,xgboost,opbgb_two_sided_unconstrained,True,0,314,1.0,,,,,,,,,,,,,0.25,0.2,0.07364819921167848,,,,,,,,,,,,
2,xgboost,opbgb_symmetric_monotone,True,0,314,1.0,,,7.388623447751286,,,4.081348982012011,,,1.514843911259619,,,,,,0.07356424367397,monotone_opbgb_symmetric,0.215771524375232,0.215771524375232,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.0,0.08698363156265487,7.069554935781274e-06,True,0.0
2,xgboost,opbgb_two_sided_monotone,True,0,314,1.0,,,1.1842547376713224,,,0.3708006856515652,,,0.7270043202224836,,,,,,0.07393175402918052,monotone_opbgb_two_sided,0.9999483464571547,0.9999946074920175,0.1,1e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,22.0,0.08697496954581373,1.9920632856548554e-08,False,0.1
2,xgboost,nested_selected,True,0,314,1.0,,,7.388623447751286,,,4.081348982012011,,,1.514843911259619,,,,,,0.07356424367397,monotone_opbgb_symmetric,0.215771524375232,0.215771524375232,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.0,0.08698363156265487,7.069554935781274e-06,True,0.0
3,logistic,raw,True,0,265,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,logistic,platt,True,0,270,0.9999999999987521,-3.461960225145924,0.9543717321529418,,,,,,,,,,,,,,,,,,,,,,,,,
3,logistic,beta,True,0,275,0.9999999999932321,-2.033705487837041,,2.382319497587484,-0.448231837788933,,,,,,,,,,,,,,,,,,,,,,,
3,logistic,isotonic,True,0,49852,0.993651686911091,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,
3,logistic,bgb,True,0,302,0.9999999760344361,,,7.217517947530139,,,1.556869105938088,0.36285909398813493,0.3604794295318514,0.0010831737037305777,2418.0608117413803,4846.121623482761,4885.639061245442,,,,,,,,,,,,,,,
3,logistic,opbgb_symmetric,True,0,1136,0.9999970311085148,,,,,,,,,,,,,5.5,5.5,0.1218228277419948,,,,,,,,,,,,
3,logistic,opbgb_two_sided_unconstrained,True,77,272,0.9999976254525136,,,,,,,,,,,,,0.2,0.5,0.12177761800709372,,,,,,,,,,,,
