fold,model,calibration,selected_method,n_test,prevalence,fit_time_model,pr_auc,roc_auc,brier,logloss,ece,ici,cal_intercept,cal_slope,oe_ratio,pred_mean,recall_005,precision_005,value_capture_005,recall_01,precision_01,value_capture_01,rank_violations,calibrated_ties,spearman_raw_calibrated
1,lightgbm,nested_selected,opbgb_two_sided_monotone,50000,0.04054,7.7322838306427,0.5887603502330616,0.9105501150843658,0.023722776380167083,0.09702026970649574,0.0044333078643859335,0.00533781420578548,-0.15035696018987463,0.9647565439902914,0.9567225309141852,0.042373832213674814,0.11692155895411939,0.948,0.055858115250232605,0.23088307844104589,0.936,0.11071531420236141,0,453,0.9999999999999999
1,xgboost,raw,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.02336581114799124,0.09642411974340244,0.0028191538989602127,0.004181587443580999,0.17062963817894022,1.0250132432780878,1.0613212725333836,0.03819767025231733,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,platt,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.02339858858576513,0.09668508322792507,0.003715812755800426,0.004104538253779383,-0.22136007688000736,0.9024336644420444,1.0135528643802822,0.03999791370012793,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,beta,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.02339257932657963,0.09660444572202803,0.0036914625662753365,0.0040982033549673835,-0.2091292162218069,0.905512881755915,1.0142956959844296,0.03996862074885737,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,isotonic,,50000,0.04054,18.84472918510437,0.574129144758372,0.9052492074070072,0.02346241961587312,0.1047542622445195,0.004256152459621282,0.004570871529439539,-0.5867665086306915,0.7629066397761604,1.0122570412227245,0.04004911633020697,0.11938825851011346,0.968,0.07306316675303086,0.23384311790823878,0.948,0.1291554865409971,0,49875,0.9935393929711449
1,xgboost,bgb,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.023389619828839532,0.09658833014275307,0.003653580854467387,0.004073072558381285,-0.20641797572887818,0.9065332504177523,1.0142473616074563,0.03997052546998903,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,opbgb_symmetric,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.02339115824792943,0.09658817080250051,0.0035776855846654577,0.004101020208878889,-0.21052407487848657,0.9051871229676116,1.013144438226931,0.04001403794995672,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,opbgb_two_sided_unconstrained,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.02340162383054505,0.0965433287715635,0.003719226867962008,0.004425813622611789,-0.1639717416660832,0.9188853837750862,1.0139305413834019,0.03998301495552883,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,opbgb_symmetric_monotone,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.023358263784707498,0.09651886116579984,0.003164767676710183,0.003807993830281108,-0.15230662007170856,0.9647706230975137,0.9656238197898289,0.04198322283394341,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,opbgb_two_sided_monotone,,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.023409375694318904,0.09638525927686963,0.002189768179521218,0.003913331609790523,-0.19504265212828711,0.9495533920709587,0.954921163000553,0.04245376641629266,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
1,xgboost,nested_selected,opbgb_two_sided_monotone,50000,0.04054,18.84472918510437,0.6004598044145133,0.9063679659226174,0.023409375694318904,0.09638525927686963,0.002189768179521218,0.003913331609790523,-0.19504265212828711,0.9495533920709587,0.954921163000553,0.04245376641629266,0.12136161815490873,0.984,0.06429804362830815,0.23384311790823878,0.948,0.1277399422909075,0,472,0.9999999999999999
2,logistic,raw,,50000,0.03588,1868.286378145218,0.2502179924221712,0.8221136819403497,0.20333946169796246,0.6054420087346278,0.3908967998848026,0.3908967998848025,-3.479134852557617,1.010259203026764,0.08407204892507016,0.4267767998848026,0.08472686733556299,0.608,0.04096889410261999,0.14381270903010032,0.516,0.10591454440204989,0,2,1.0
2,logistic,platt,,50000,0.03588,1868.286378145218,0.2502179924221712,0.8221136819403497,0.03059988881690967,0.12674561312530971,0.006578942717698128,0.00928558517022418,0.004216500562522837,1.0132460035754625,0.9725448297482937,0.036892900874591225,0.08472686733556299,0.608,0.04096889410261999,0.14381270903010032,0.516,0.10591454440204989,0,2,1.0
2,logistic,beta,,50000,0.03588,1868.286378145218,0.2502179924221712,0.8221136819403497,0.030488746636247597,0.12590631077816145,0.0060252508991433,0.007760461655167823,0.023148224703722582,1.0203039233020388,0.9724632046088584,0.03689599753486977,0.08472686733556299,0.608,0.04096889410261999,0.14381270903010032,0.516,0.10591454440204989,0,2,1.0
2,logistic,isotonic,,50000,0.03588,1868.286378145218,0.23494699947720288,0.8203777917337388,0.030581130424294452,0.12601264827316355,0.002694556397027728,0.007870657587962085,-0.11426722124858717,0.9644002711851244,0.9871265580725451,0.036347922874305987,0.08416945373467112,0.604,0.0376688096585481,0.13768115942028986,0.494,0.10020724741689889,0,49904,0.9917550405589587
2,logistic,bgb,,50000,0.03588,1868.286378145218,0.2502179924221712,0.8221136819403497,0.030443477039649287,0.12483870473333662,0.0036469603461182633,0.0071584142780713724,-0.013958789810913079,1.002331330555482,0.9832871958601955,0.036489847677322385,0.08472686733556299,0.608,0.04096889410261999,0.14381270903010032,0.516,0.10591454440204989,0,2,1.0
2,logistic,opbgb_symmetric,,50000,0.03588,1868.286378145218,0.2502179924221712,0.8221136819403497,0.030403301952871487,0.12491245773967902,0.004348399146643666,0.006515350957110842,0.01863296843518644,1.0178045084003406,0.975328101724266,0.03678762042903137,0.08472686733556299,0.608,0.04096889410261999,0.14381270903010032,0.516,0.10591454440204989,0,2,1.0
