fold,model,calibration,selected_method,n_test,prevalence,fit_time_model,pr_auc,roc_auc,brier,logloss,ece,ici,cal_intercept,cal_slope,oe_ratio,pred_mean,recall_005,precision_005,value_capture_005,recall_01,precision_01,value_capture_01
1,logistic,raw,,50000,0.04054,2454.211163043976,0.3947715154428309,0.8374314029688074,0.2181384855751266,0.6388120770800965,0.40361258856291854,0.40361258893992463,-3.6215027472273746,1.061142594626835,0.09127493803687942,0.44415258856291867,0.1080414405525407,0.876,0.07762978623798919,0.18746916625555007,0.76,0.1517664874558552
1,logistic,platt,,50000,0.04054,2454.211163043976,0.3947715154428309,0.8374314029688074,0.030957778411162398,0.12723581824452837,0.010589630362865107,0.011473802930406514,0.866415764022038,1.2944660472140777,1.0295633471329733,0.039375916122977576,0.1080414405525407,0.876,0.07762978623798919,0.18746916625555007,0.76,0.1517664874558552
1,logistic,beta,,50000,0.04054,2454.211163043976,0.3947715154428309,0.8374314029688074,0.031313481215527635,0.12774501954444992,0.009975154360511239,0.011625129764623529,0.688380456455826,1.2612096371620458,1.0144639063324055,0.03996199346959951,0.1080414405525407,0.876,0.07762978623798919,0.18746916625555007,0.76,0.1517664874558552
1,logistic,isotonic,,50000,0.04054,2454.211163043976,0.36531699034609877,0.8357916876672663,0.031209294302736286,0.1268970016725649,0.0066006984409109825,0.008370439751495873,0.369307210968062,1.1500352498942634,1.0004034512379705,0.040523650682964873,0.09768130241736557,0.792,0.0845284670773604,0.1879625061667489,0.762,0.15019286684282226
1,logistic,bgb,,50000,0.04054,2454.211163043976,0.394771515442831,0.8374314029688074,0.03166443028956493,0.12765922467075275,0.007587559227730347,0.008288543932498836,0.5111626058084905,1.194177096957062,1.028756629770762,0.03940679343085598,0.1080414405525407,0.876,0.07762978623798919,0.18746916625555007,0.76,0.1517664874558552
1,logistic,opbgb_symmetric,,50000,0.04054,2454.211163043976,0.3947715154428309,0.8374314029688074,0.031579953679698486,0.1281768396012007,0.009739984897545954,0.011062038966901364,0.6590111137745969,1.2534543120973891,1.023779997089825,0.039598351320828826,0.1080414405525407,0.876,0.07762978623798919,0.18746916625555007,0.76,0.1517664874558552
1,logistic,opbgb_two_sided,,50000,0.04054,2454.211163043976,0.394771515442831,0.8374314029688074,0.03168349326235,0.12797073837911477,0.008823330260986795,0.009845634049190064,0.5410737501459426,1.2107351330750058,1.0209157571822103,0.0397094468518077,0.1080414405525407,0.876,0.07762978623798919,0.18746916625555007,0.76,0.1517664874558552
1,logistic,nested_selected,opbgb_two_sided,50000,0.04054,2454.211163043976,0.394771515442831,0.8374314029688074,0.03168349326235,0.12797073837911477,0.008823330260986795,0.009845634049190064,0.5410737501459426,1.2107351330750058,1.0209157571822103,0.0397094468518077,0.1080414405525407,0.876,0.07762978623798919,0.18746916625555007,0.76,0.1517664874558552
1,lightgbm,raw,,50000,0.04054,6.708738088607788,0.5887603502330616,0.9105501150843658,0.09105670140810869,0.31729534676103593,0.20799739695027245,0.20800916246265871,-2.932155033651365,1.170476287061542,0.16311428580750476,0.24853739695027244,0.11692155895411939,0.948,0.055858115250232605,0.23088307844104589,0.936,0.11071531420236141
1,lightgbm,platt,,50000,0.04054,6.708738088607788,0.5887603502330616,0.9105501150843658,0.023743029955308248,0.09720923264946028,0.005478635559456335,0.005592456293934983,-0.2680311443236143,0.9007546129596486,0.9735762699578548,0.041640291830197275,0.11692155895411939,0.948,0.055858115250232605,0.23088307844104589,0.936,0.11071531420236141
