model,calibration,pr_auc_mean,pr_auc_sd,brier_mean,logloss_mean,ece_mean,ici_mean,cal_intercept_mean,cal_slope_mean,oe_ratio_mean
lightgbm,beta,0.5032047763334765,0.0684400291324558,0.023990828200031195,0.09768685916519156,0.006263694103146969,0.006653131107493469,-0.21805683880047746,0.9225981862707631,0.980074180859879
lightgbm,bgb,0.5032047763334765,0.0684400291324558,0.024016455979694505,0.09772858847605709,0.0063254143456556,0.006699529841918363,-0.21422291237945995,0.924281296845679,0.9794463531341867
lightgbm,isotonic,0.48195362719113927,0.0683902318832152,0.02415161891001167,0.10153771456425924,0.005990416199124771,0.007089925041206308,-0.3861035852991047,0.853419328852689,0.9840370349421659
lightgbm,nested_selected,0.5027633100284774,0.06824551989233754,0.02400997366414779,0.09774565050422122,0.006401167756385649,0.006770781979860047,-0.1974733019321382,0.927766282772237,0.9824062421643913
lightgbm,opbgb_symmetric,0.502763334245202,0.06824549988485631,0.023997154119934427,0.09769241901995943,0.00640678095139878,0.006762676104473973,-0.20497630911191578,0.9263762075639139,0.9802787807115351
lightgbm,opbgb_two_sided,0.5027633100284774,0.06824551989233754,0.02400997366414779,0.09774565050422122,0.006401167756385649,0.006770781979860047,-0.1974733019321382,0.927766282772237,0.9824062421643913
lightgbm,platt,0.5032047763334765,0.0684400291324558,0.023998225377831736,0.0977385700215942,0.006172043292035514,0.006778616671519773,-0.21084295139685888,0.9260955136383311,0.9810345996460375
lightgbm,raw,0.5032047763334765,0.0684400291324558,0.09572383515859562,0.3305914082115906,0.21707692940065282,0.21708185352366724,-2.9947959837086833,1.1374873272273955,0.14338711325809864
logistic,beta,0.24711176523421097,0.10590263964285387,0.032082149159449035,0.13449874148224905,0.009303754568716238,0.010717617831488191,-0.355164634668185,0.905506468476413,0.9476575298715972
logistic,bgb,0.247111765234211,0.10590263964285392,0.03153701670412878,0.12696217560232753,0.0077901485256503065,0.008948252738845627,-0.14068182952647906,0.9716959937024967,0.9609131872837409
logistic,isotonic,0.23505464908215326,0.09269373313586464,0.031782333059545,0.12846453844204425,0.007759081439028919,0.00962444636609571,-0.28693139985254096,0.9225170001152602,0.9487559077786292
logistic,nested_selected,0.2600889560926031,0.09316149970316728,0.031164264311947566,0.12600979536736476,0.008136661117855241,0.009414504420495778,-0.04586932729101143,1.0037002522698717,0.969708375020904
logistic,opbgb_symmetric,0.2529697403786138,0.10032732534664088,0.030990746905341475,0.12592709485334053,0.00832065826683233,0.009786411932177675,0.015610873983568953,1.0260028488764459,0.9706332255918495
logistic,opbgb_two_sided,0.2600889560926031,0.09316149970316728,0.031164264311947566,0.12600979536736476,0.008136661117855241,0.009414504420495778,-0.04586932729101143,1.0037002522698717,0.969708375020904
logistic,platt,0.24711176523421097,0.1059026396428539,0.032819498878895334,0.15092958084916197,0.011106982811880248,0.013773287129382713,-0.7109070699281784,0.7934905015006795,0.9585928448165751
logistic,raw,0.24711176523421097,0.1059026396428539,0.20542526039214232,0.6430089681949391,0.3884799509312271,0.3884799510254786,-3.450881762244367,0.6803401911571757,0.08548622618475135
xgboost,beta,0.5229011929837568,0.061798773759982675,0.023514880096844763,0.09648737391769865,0.005410501221030516,0.006132060585951176,-0.18494826780482648,0.9312516417592561,0.9887109014073066
xgboost,bgb,0.5229011929837568,0.061798773759982675,0.023552342860326526,0.09659427019309234,0.005377653659575701,0.006198136170538897,-0.1783731477397114,0.9331388516748492,0.9906852264982093
xgboost,isotonic,0.4973165107520185,0.06011640847370791,0.02369119572066791,0.10192414507668755,0.005901460300448548,0.006863628891468637,-0.43654416040106414,0.834846358699348,0.9906885815549473
xgboost,nested_selected,0.5229011929837568,0.061798773759982675,0.023505500604080392,0.09649301084966673,0.005359795820678818,0.006369490844593331,-0.1627454960349807,0.9387154506205373,0.989385031409484
xgboost,opbgb_symmetric,0.5229011929837568,0.061798773759982675,0.02352249179447676,0.09664692512226854,0.005629438527649156,0.006493618234663229,-0.16841201867300165,0.9372912668586889,0.9890988301563195
xgboost,opbgb_two_sided,0.5229011929837568,0.061798773759982675,0.023505500604080392,0.09649301084966673,0.005359795820678818,0.006369490844593331,-0.1627454960349807,0.9387154506205373,0.989385031409484
xgboost,platt,0.5229011929837568,0.061798773759982675,0.023519176841312495,0.0967936481896215,0.005534084815775908,0.0063093732855037405,-0.20623891481445508,0.927074024427149,0.9906335683528475
xgboost,raw,0.5229011929837568,0.061798773759982675,0.023435737218613292,0.09733037853008625,0.00866763392775785,0.009152809050195942,-0.15750695594909153,1.0257513450686302,0.8790286166012783
