dataset,model,mean,ci_low,ci_high,sd,range_low,range_high,n_folds,interval_type,resamples_enumerated
Sparkov,lightgbm,0.9727630871784735,0.9659385330980262,0.9791551043868826,0.009386674431645781,0.959522261167459,0.9806816620113309,6,finite fold-resampling sensitivity interval,46656
Sparkov,logistic,0.31801463560588444,0.24323820470685018,0.3818122922675438,0.09549856475437836,0.16022045859118994,0.4172537554756976,6,finite fold-resampling sensitivity interval,46656
Sparkov,xgboost,0.9722969409234676,0.9653152402982156,0.9782484778189299,0.008875279643351736,0.9577005329215069,0.9799241037931488,6,finite fold-resampling sensitivity interval,46656
IEEE-CIS,lightgbm,0.5088527911550533,0.47844927874182513,0.5392563035682815,0.03769744961573009,0.4627559528060721,0.5453076627748852,4,finite fold-resampling sensitivity interval,256
IEEE-CIS,logistic,0.2992793812764258,0.19061829973577765,0.40924587585644756,0.12645773374886454,0.1473521324513259,0.4538174561802729,4,finite fold-resampling sensitivity interval,256
IEEE-CIS,xgboost,0.5318675589667332,0.4989434299490788,0.5647916879843875,0.04150660148229432,0.4812932977899686,0.5750226821461806,4,finite fold-resampling sensitivity interval,256
