model,calibration,pr_auc_mean,pr_auc_sd,brier_mean,logloss_mean,ece_mean,ici_mean,cal_intercept_mean,cal_slope_mean,oe_ratio_mean,rank_violations_total,spearman_min
logistic,beta,0.35576741201025913,,0.03672737837816583,0.14561595982316117,0.016763520544313255,0.0161388573417354,0.8278628122338281,1.1059754131936856,1.5267508008742814,0,0.9999999978888886
logistic,bgb,0.35576741201025913,,0.03674054653862842,0.14569167332579755,0.016948224976327454,0.016293040019137003,0.8643062764151034,1.1160359668482904,1.5327006214013077,0,0.9999998734444213
logistic,isotonic,0.3104240904821945,,0.037163224165565556,0.1595822086411316,0.017908459379704034,0.016670364141608794,0.04962667802274681,0.8340074755212208,1.5697575890775246,0,0.9800107660163412
logistic,nested_selected,0.35576741201025913,,0.03652204383446454,0.14395139959892997,0.013087089247868614,0.013406354173581722,0.860999641573754,1.175901463982349,1.3520982646959199,0,0.9999999978888886
logistic,opbgb_symmetric,0.35576741201025913,,0.0367262364395899,0.14560776704352807,0.0167472426576181,0.01612546478272562,0.8269578041476332,1.1059275088991027,1.526012696081704,0,0.9999999978888886
logistic,opbgb_symmetric_monotone,0.35576741201025913,,0.03655250478767327,0.14405613439999668,0.013227259298913573,0.01349600225507523,0.8733199809944436,1.1793769166474606,1.3546237278377278,0,0.9999999978888886
logistic,opbgb_two_sided_monotone,0.35576741201025913,,0.03652204383446454,0.14395139959892997,0.013087089247868614,0.013406354173581722,0.860999641573754,1.175901463982349,1.3520982646959199,0,0.9999999978888886
logistic,opbgb_two_sided_unconstrained,0.35576741201025913,,0.036637380961151364,0.14535790361672515,0.016940242909096626,0.01601802535171287,0.8175521894873622,1.1036853337252144,1.5198189383973202,0,0.9999999978888886
logistic,platt,0.3557674120102591,,0.03778129673749831,0.15025882577640637,0.01744470374769345,0.01987572937913354,1.8863132907548028,1.424668217611079,1.537166151085375,0,0.9999999999999999
logistic,raw,0.3557674120102591,,0.10014657932200423,0.360175424180241,0.22547860412270507,0.22547860416270502,-2.5764223501668106,0.913935149175097,0.16842140205403391,0,0.9999999999999999
