model,policy,delay_days,calibration,pr_auc,pr_auc_sd,roc_auc,brier,logloss,cal_intercept,cal_slope,recall_005,precision_005,value_capture_005,recall_01,value_capture_01
lightgbm,capped_weighted,0,beta,0.9723607092817561,0.008657236632371746,0.9993900355721324,0.0004176580592474904,0.0017866559206479995,0.07654738294255481,1.0065896739622706,0.9497061534011837,0.7766536608755988,0.9787746476170086,0.9846383026640672,0.9964759028619832
lightgbm,capped_weighted,0,platt,0.9723607092817561,0.008657236632371746,0.9993900355721324,0.0004210324680981984,0.001792792045234582,0.03586833876936894,1.0214120403012996,0.9497061534011837,0.7766536608755988,0.9787746476170086,0.9846383026640672,0.9964759028619832
lightgbm,capped_weighted,0,raw,0.9723607092817561,0.008657236632371751,0.9993900355721324,0.001346761642422873,0.0052151145882219285,-3.0850137862697147,0.9991349150451359,0.9497061534011837,0.7766536608755988,0.9787746476170086,0.9846383026640672,0.9964759028619832
lightgbm,capped_weighted,7,beta,0.9726326079135834,0.009015780474806749,0.9993903569565319,0.0004184013639197971,0.0017781304744126124,0.03002093631937415,1.0014950606747506,0.950331903067703,0.7770547089287488,0.9811874548366276,0.9852424156180822,0.9965736242003832
lightgbm,capped_weighted,7,platt,0.9726326079135834,0.009015780474806714,0.9993903569565319,0.0004217231558358956,0.001782571730924859,0.001947674918179674,1.023899843989842,0.950331903067703,0.7770547089287488,0.9811874548366276,0.9852424156180822,0.9965736242003832
lightgbm,capped_weighted,7,raw,0.9726326079135833,0.009015780474806721,0.9993903569565319,0.0013377338059023264,0.005199260945614352,-3.1227196884237913,1.0029889330171065,0.950331903067703,0.7770547089287488,0.9811874548366276,0.9852424156180822,0.9965736242003832
lightgbm,capped_weighted,14,beta,0.9727630871784735,0.008974114471432683,0.9995121507650592,0.00041361947191505835,0.0017577600070416445,0.03143950363900966,1.0026637543966952,0.9500833948644477,0.7771402399735406,0.9800499358583429,0.9857734998919563,0.9972303316455552
lightgbm,capped_weighted,14,platt,0.9727630871784735,0.008974114471432695,0.9995121507650592,0.000417490702647368,0.001767482885265525,0.027426610051754192,1.0232071057982948,0.9500833948644477,0.7771402399735406,0.9800499358583429,0.9857734998919563,0.9972303316455552
lightgbm,capped_weighted,14,raw,0.9727630871784735,0.008974114471432712,0.9995121507650592,0.001343605957765398,0.005182022414335078,-3.1085580780545587,1.006046372110139,0.9500833948644477,0.7771402399735406,0.9800499358583429,0.9857734998919563,0.9972303316455552
lightgbm,capped_weighted,30,beta,0.972204940841925,0.008473491399944681,0.9994872209122314,0.00042623371285479476,0.0018019722243305298,0.053118837317533085,1.0009390199495458,0.9488049856935103,0.7753898122236654,0.981400329368402,0.9864018293892208,0.996730502040395
lightgbm,capped_weighted,30,platt,0.972204940841925,0.008473491399944681,0.9994872209122314,0.0004303798570070788,0.001812049923157229,-0.0005821198902300021,1.018342373647301,0.9488049856935103,0.7753898122236654,0.981400329368402,0.9864018293892208,0.996730502040395
lightgbm,capped_weighted,30,raw,0.972204940841925,0.008473491399944728,0.9994872209122314,0.0013388983761820378,0.005180400364804814,-3.0777559815116233,0.9972799783086012,0.9488049856935103,0.7753898122236654,0.981400329368402,0.9864018293892208,0.996730502040395
lightgbm,sliding180_unweighted,0,beta,0.9307495802900377,0.025054241137034177,0.9978919726160199,0.0008068792888868844,0.0033093146017184965,-0.2244376964560447,0.9927630002677561,0.9072980064339703,0.7388180529475908,0.9583659419178069,0.9671074063337101,0.9916948332941379
lightgbm,sliding180_unweighted,0,platt,0.9307495802900377,0.025054241137034177,0.9978919726160199,0.0007999906771690384,0.0033572233528930957,-0.2522031111701456,0.9850156564797273,0.9072980064339703,0.7388180529475908,0.9583659419178069,0.9671074063337101,0.9916948332941379
lightgbm,sliding180_unweighted,0,raw,0.9306829947663355,0.02502325433350856,0.9979253915767777,0.0008579792714764854,0.00428281858101206,-0.021274674688562367,0.6414803441371844,0.9072980064339703,0.7388180529475908,0.9583659419178069,0.9671074063337101,0.9916948332941379
lightgbm,sliding180_unweighted,7,beta,0.9337275182002721,0.029144175444766454,0.9981700360563844,0.0007413803039616778,0.003133164374724356,-0.13981274603226748,0.9989268071466713,0.9146092945825285,0.7477259627615216,0.9662830016707379,0.967002573794289,0.991820936577675
lightgbm,sliding180_unweighted,7,platt,0.9337275182002721,0.029144175444766454,0.9981700360563844,0.0007350480550589937,0.003191606023493425,-0.21269787370183205,0.9881909784848751,0.9146092945825285,0.7477259627615216,0.9662830016707379,0.967002573794289,0.991820936577675
lightgbm,sliding180_unweighted,7,raw,0.9337275182002719,0.029144175444766374,0.9981700360563844,0.0007674671178851551,0.003993271853032427,0.20793871410763765,0.665971156083955,0.9146092945825285,0.7477259627615216,0.9662830016707379,0.967002573794289,0.991820936577675
lightgbm,sliding180_unweighted,14,beta,0.9391436244665291,0.020893118882214335,0.9982212388109465,0.0007315981520021763,0.0030426839195773735,-0.26116321336107723,0.987386255633146,0.9170001580811277,0.7488641361291245,0.9659467437685181,0.9717168041608572,0.9938648658001982
lightgbm,sliding180_unweighted,14,platt,0.9391436244665291,0.020893118882214335,0.9982212388109465,0.00072714685487328,0.0030927276876509934,-0.27620911229427153,0.9810209610305138,0.9170001580811277,0.7488641361291245,0.9659467437685181,0.9717168041608572,0.9938648658001982
lightgbm,sliding180_unweighted,14,raw,0.9391436244665291,0.020893118882214335,0.9981993159094066,0.0007516403649582021,0.0038520424124553524,0.21019321995618848,0.6677268874142527,0.9170001580811277,0.7488641361291245,0.9659467437685181,0.9717168041608572,0.9938648658001982
lightgbm,sliding180_unweighted,30,beta,0.8858382870548543,0.1791950257970376,0.9874756225861244,0.0010050532195005968,0.004303421486541487,-0.27917693108793273,0.9895597746305826,0.8834687173701082,0.7115279308332165,0.9325124830919234,0.9390185801450137,0.9688964977509761
lightgbm,sliding180_unweighted,30,platt,0.8779504942744903,0.2063539319183278,0.9873626755483382,0.0010681263959697181,0.004607620213223089,-0.3449635115466643,0.978205664697053,0.8628523979256637,0.6887133294883557,0.9099672152054664,0.9385845523672359,0.9703352872387736
