pr_auc,roc_auc,brier,logloss,cal_intercept,cal_slope,precision_0.001,recall_0.001,value_capture_0.001,precision_0.005,recall_0.005,value_capture_0.005,precision_0.01,recall_0.01,value_capture_0.01,precision_0.02,recall_0.02,value_capture_0.02,fold,delay_days,policy,seed,model,calibration,n_train,train_prev,n_test,test_prev,fit_seconds
0.25172581198802163,0.9539804285447815,0.034452084451913834,0.18019168078899384,-5.347150802612305,0.39681777358055115,0.22093023255813954,0.059190031152647975,0.09595575053527934,0.3627906976744186,0.48598130841121495,0.6540750840000809,0.25844004656577413,0.6915887850467289,0.859188556035568,0.15084449621432733,0.8068535825545171,0.9584197314808284,2020-07,0,capped_weighted,20260716,logistic,raw,350000,0.018985714285714286,85848,0.003739166899636567,0.5094950199127197
0.25118344275893795,0.9539785891154519,0.003755158744752407,0.015934566035866737,-0.8296716213226318,0.8800054788589478,0.1744186046511628,0.04672897196261682,0.0663232105932905,0.3627906976744186,0.48598130841121495,0.6540750840000809,0.25844004656577413,0.6915887850467289,0.859188556035568,0.15084449621432733,0.8068535825545171,0.9584197314808284,2020-07,0,capped_weighted,20260716,logistic,platt,350000,0.018985714285714286,85848,0.003739166899636567,0.5094950199127197
0.2511834463476359,0.9539786073276235,0.0031821955926716328,0.01348487101495266,-0.5194048285484314,0.8919016122817993,0.1744186046511628,0.04672897196261682,0.0663232105932905,0.3627906976744186,0.48598130841121495,0.6540750840000809,0.25844004656577413,0.6915887850467289,0.859188556035568,0.15084449621432733,0.8068535825545171,0.9584197314808284,2020-07,0,capped_weighted,20260716,logistic,beta,350000,0.018985714285714286,85848,0.003739166899636567,0.5094950199127197
0.9585608828685042,0.9979978995538273,0.0014295463399614753,0.005336425108334287,-3.1486396567083474,0.8958465512654501,1.0,0.26791277258566976,0.3888562949310545,0.7046511627906977,0.9439252336448598,0.9899011460867492,0.36670547147846333,0.9813084112149533,0.9994808705819878,0.18520675596971461,0.9906542056074766,0.9997886802308371,2020-07,0,capped_weighted,20260716,lightgbm,raw,350000,0.018985714285714286,85848,0.003739166899636567,2.251689910888672
0.9585608828685042,0.9979978995538272,0.00047337026229035976,0.002175268312842453,-0.37006721066402537,0.9062906267105698,1.0,0.26791277258566976,0.3888562949310545,0.7046511627906977,0.9439252336448598,0.9899011460867492,0.36670547147846333,0.9813084112149533,0.9994808705819878,0.18520675596971461,0.9906542056074766,0.9997886802308371,2020-07,0,capped_weighted,20260716,lightgbm,platt,350000,0.018985714285714286,85848,0.003739166899636567,2.251689910888672
0.9585608828685042,0.9979978995538272,0.00046237350945285157,0.0021367121625514257,-0.10271872636334356,0.948342098691863,1.0,0.26791277258566976,0.3888562949310545,0.7046511627906977,0.9439252336448598,0.9899011460867492,0.36670547147846333,0.9813084112149533,0.9994808705819878,0.18520675596971461,0.9906542056074766,0.9997886802308371,2020-07,0,capped_weighted,20260716,lightgbm,beta,350000,0.018985714285714286,85848,0.003739166899636567,2.251689910888672
0.9568965200413442,0.9974650478377289,0.0010001090122386813,0.003950535319745541,-2.4401495456695557,0.8028659224510193,1.0,0.26791277258566976,0.3953345410009196,0.7046511627906977,0.9439252336448598,0.9884413191219057,0.36321303841676367,0.9719626168224299,0.9984366244575438,0.18462434478741993,0.9875389408099688,0.9997356769723028,2020-07,0,capped_weighted,20260716,xgboost,raw,350000,0.018985714285714286,85848,0.003739166899636567,2.3531668186187744
0.9568965200413442,0.997465047837729,0.00049676897469908,0.002242579823359847,-0.11389953643083572,0.9516708850860596,1.0,0.26791277258566976,0.3953345410009196,0.7046511627906977,0.9439252336448598,0.9884413191219057,0.36321303841676367,0.9719626168224299,0.9984366244575438,0.18462434478741993,0.9875389408099688,0.9997356769723028,2020-07,0,capped_weighted,20260716,xgboost,platt,350000,0.018985714285714286,85848,0.003739166899636567,2.3531668186187744
0.9568965200413442,0.9974650478377289,0.0004936476470902562,0.0022448827512562275,-0.10810787230730057,0.9367620944976807,1.0,0.26791277258566976,0.3953345410009196,0.7046511627906977,0.9439252336448598,0.9884413191219057,0.36321303841676367,0.9719626168224299,0.9984366244575438,0.18462434478741993,0.9875389408099688,0.9997356769723028,2020-07,0,capped_weighted,20260716,xgboost,beta,350000,0.018985714285714286,85848,0.003739166899636567,2.3531668186187744
0.2520951987142606,0.9538093798292988,0.03440096229314804,0.17904068529605865,-5.345310688018799,0.4015210270881653,0.22093023255813954,0.059190031152647975,0.08883793601403775,0.3674418604651163,0.49221183800623053,0.6620214762144885,0.25844004656577413,0.6915887850467289,0.8548748722895625,0.15084449621432733,0.8068535825545171,0.9584197314808286,2020-07,0,capped_weighted,20260717,logistic,raw,350000,0.018985714285714286,85848,0.003739166899636567,0.4492039680480957
0.2527923733297956,0.9538116381385747,0.0037517701275646687,0.01598437689244747,-0.8442232012748718,0.8789286613464355,0.23255813953488372,0.06230529595015576,0.09663653674061726,0.3674418604651163,0.49221183800623053,0.6620214762144885,0.25844004656577413,0.6915887850467289,0.8548748722895625,0.15084449621432733,0.8068535825545171,0.9584197314808286,2020-07,0,capped_weighted,20260717,logistic,platt,350000,0.018985714285714286,85848,0.003739166899636567,0.4492039680480957
0.2527923733297956,0.9538116381385746,0.003177438396960497,0.013517157174646854,-0.5429290533065796,0.8769609332084656,0.23255813953488372,0.06230529595015576,0.09663653674061726,0.3674418604651163,0.49221183800623053,0.6620214762144885,0.25844004656577413,0.6915887850467289,0.8548748722895625,0.15084449621432733,0.8068535825545171,0.9584197314808286,2020-07,0,capped_weighted,20260717,logistic,beta,350000,0.018985714285714286,85848,0.003739166899636567,0.4492039680480957
0.9591465148897177,0.9982294491033001,0.0013237078832877215,0.005033920052091113,-2.908266321919598,0.8997449745983398,1.0,0.26791277258566976,0.39604179732348044,0.7116279069767442,0.9532710280373832,0.9940918698358455,0.36437718277066355,0.9750778816199377,0.9984875479211537,0.18462434478741993,0.9875389408099688,0.9997356769723026,2020-07,0,capped_weighted,20260717,lightgbm,raw,350000,0.018985714285714286,85848,0.003739166899636567,1.998845100402832
0.9591465148897177,0.9982294491033001,0.00045713599274451274,0.0021318648367305753,-0.10966289138519525,0.9377237700707259,1.0,0.26791277258566976,0.39604179732348044,0.7116279069767442,0.9532710280373832,0.9940918698358455,0.36437718277066355,0.9750778816199377,0.9984875479211537,0.18462434478741993,0.9875389408099688,0.9997356769723026,2020-07,0,capped_weighted,20260717,lightgbm,platt,350000,0.018985714285714286,85848,0.003739166899636567,1.998845100402832
0.9591465148897177,0.9982294491033001,0.00044902999725598183,0.0021025240591474215,-0.10304498706758881,0.9560489542587314,1.0,0.26791277258566976,0.39604179732348044,0.7116279069767442,0.9532710280373832,0.9940918698358455,0.36437718277066355,0.9750778816199377,0.9984875479211537,0.18462434478741993,0.9875389408099688,0.9997356769723026,2020-07,0,capped_weighted,20260717,lightgbm,beta,350000,0.018985714285714286,85848,0.003739166899636567,1.998845100402832
0.9567340854143832,0.9977956716005989,0.0009466435294598341,0.003823888022452593,-2.3942346572875977,0.7882123589515686,1.0,0.26791277258566976,0.3988887214548934,0.7116279069767442,0.9532710280373832,0.9953125203843536,0.3620488940628638,0.9688473520249221,0.9967952250933686,0.18462434478741993,0.9875389408099688,0.9997356769723026,2020-07,0,capped_weighted,20260717,xgboost,raw,350000,0.018985714285714286,85848,0.003739166899636567,2.258157253265381
0.9567340854143832,0.9977956716005989,0.0004948870046064258,0.00225245812907815,-0.12462358176708221,0.9270070195198059,1.0,0.26791277258566976,0.3988887214548934,0.7116279069767442,0.9532710280373832,0.9953125203843536,0.3620488940628638,0.9688473520249221,0.9967952250933686,0.18462434478741993,0.9875389408099688,0.9997356769723026,2020-07,0,capped_weighted,20260717,xgboost,platt,350000,0.018985714285714286,85848,0.003739166899636567,2.258157253265381
0.9567340854143833,0.9977956716005989,0.000491893501020968,0.0022541272919625044,-0.1153225526213646,0.9367107152938843,1.0,0.26791277258566976,0.3988887214548934,0.7116279069767442,0.9532710280373832,0.9953125203843536,0.3620488940628638,0.9688473520249221,0.9967952250933686,0.18462434478741993,0.9875389408099688,0.9997356769723026,2020-07,0,capped_weighted,20260717,xgboost,beta,350000,0.018985714285714286,85848,0.003739166899636567,2.258157253265381
0.24946346400094896,0.9521208383412253,0.04668676480650902,0.22008834779262543,-5.480744361877441,0.4035256803035736,0.22093023255813954,0.059190031152647975,0.10192274519821046,0.35348837209302325,0.4735202492211838,0.6529908175793595,0.25145518044237486,0.6728971962616822,0.8574439232142236,0.1525917297612114,0.8161993769470405,0.962344997768632,2020-07,0,sliding180_weighted,20260716,logistic,raw,446668,0.005256700726266488,85848,0.003739166899636567,0.6523909568786621
0.2501750284478353,0.9521233516209033,0.003765792353078723,0.016034642234444618,-0.8746697306632996,0.8771799802780151,0.27906976744186046,0.07476635514018691,0.12158178613922564,0.35348837209302325,0.4735202492211838,0.6529908175793595,0.25145518044237486,0.6728971962616822,0.8574439232142236,0.1525917297612114,0.8161993769470405,0.962344997768632,2020-07,0,sliding180_weighted,20260716,logistic,platt,446668,0.005256700726266488,85848,0.003739166899636567,0.6523909568786621
0.25017502844783523,0.9521233334087318,0.003200140316039324,0.013751227408647537,-0.603242814540863,0.8843929767608643,0.27906976744186046,0.07476635514018691,0.12158178613922564,0.35348837209302325,0.4735202492211838,0.6529908175793595,0.25145518044237486,0.6728971962616822,0.8574439232142236,0.1525917297612114,0.8161993769470405,0.962344997768632,2020-07,0,sliding180_weighted,20260716,logistic,beta,446668,0.005256700726266488,85848,0.003739166899636567,0.6523909568786621
0.9448919954359514,0.9970773471291261,0.0007825484333838464,0.0034523005566540455,-1.7651969405784755,0.7458707097027718,1.0,0.26791277258566976,0.39227346101635546,0.6976744186046512,0.9345794392523364,0.9918495988107104,0.359720605355064,0.9626168224299065,0.9950426512368574,0.18287711124053582,0.9781931464174455,0.9994526988143719,2020-07,0,sliding180_weighted,20260716,lightgbm,raw,446668,0.005256700726266488,85848,0.003739166899636567,2.58378005027771
0.9448919954359513,0.9970773471291261,0.0005589693445845232,0.002634944220469193,-0.5174188993573211,0.904623540395386,1.0,0.26791277258566976,0.39227346101635546,0.6976744186046512,0.9345794392523364,0.9918495988107104,0.359720605355064,0.9626168224299065,0.9950426512368574,0.18287711124053582,0.9781931464174455,0.9994526988143719,2020-07,0,sliding180_weighted,20260716,lightgbm,platt,446668,0.005256700726266488,85848,0.003739166899636567,2.58378005027771
0.9448919954359513,0.9970773471291261,0.0005561648583628865,0.002629756447014525,-0.49221112203359174,0.9026616703511345,1.0,0.26791277258566976,0.39227346101635546,0.6976744186046512,0.9345794392523364,0.9918495988107104,0.359720605355064,0.9626168224299065,0.9950426512368574,0.18287711124053582,0.9781931464174455,0.9994526988143719,2020-07,0,sliding180_weighted,20260716,lightgbm,beta,446668,0.005256700726266488,85848,0.003739166899636567,2.58378005027771
0.9387487515485262,0.9963089027614641,0.0007513478631153703,0.003471492091193795,-1.5295889377593994,0.732099175453186,1.0,0.26791277258566976,0.38434345506499074,0.6976744186046512,0.9345794392523364,0.9900703027406216,0.3608847497089639,0.9657320872274143,0.9964441809197218,0.18112987769365171,0.9688473520249221,0.9965557965806785,2020-07,0,sliding180_weighted,20260716,xgboost,raw,446668,0.005256700726266488,85848,0.003739166899636567,2.890604019165039
0.9387487515485263,0.9963089027614642,0.0006397859542630613,0.002974128583446145,-0.7878535985946655,0.874922513961792,1.0,0.26791277258566976,0.38434345506499074,0.6976744186046512,0.9345794392523364,0.9900703027406216,0.3608847497089639,0.9657320872274143,0.9964441809197218,0.18112987769365171,0.9688473520249221,0.9965557965806785,2020-07,0,sliding180_weighted,20260716,xgboost,platt,446668,0.005256700726266488,85848,0.003739166899636567,2.890604019165039
