model,pr_auc_mean,pr_auc_sd,roc_auc_mean,brier_mean,logloss_mean,recall_005,precision_005,value_capture_005,recall_01,precision_01,value_capture_01
lightgbm,0.5088527911550533,0.03769744961573,0.8971236494735298,0.022720591187443,0.0939731223556053,0.1344762349803068,0.924,0.0736918136734784,0.2551594986067971,0.878,0.1445968419994365
logistic,0.2992793812764258,0.1264577337488645,0.8306600396742092,0.0338591607300602,0.1705288661556411,0.0849639578280027,0.577,0.0385579944520448,0.1485426887208986,0.5065,0.0866826163536868
xgboost,0.5318675589667331,0.0415066014822943,0.9064139340808872,0.0221376079134643,0.0914502181112766,0.1335083631157051,0.918,0.0795770183671973,0.2536960169969989,0.873,0.1592202143179506
