model,temporal_pr_auc,pr_auc_mean,pr_auc_optimism,temporal_roc_auc,roc_auc_mean,roc_auc_optimism
lightgbm,0.5088527911550533,0.6970859588754429,0.1882331677203895,0.89712364947353,0.947745133636823,0.050621484163293
logistic,0.2992793812764258,0.4161957854750032,0.1169164041985774,0.8306600396742092,0.8618107142563864,0.0311506745821772
xgboost,0.5318675589667331,0.7036151397181606,0.1717475807514275,0.9064139340808872,0.9380293507368008,0.0316154166559135
