model,calibration,pr_auc_mean,pr_auc_sd,roc_auc_mean,brier_mean,logloss_mean,recall_005,precision_005,value_capture_005,recall_01,precision_01,value_capture_01
lightgbm,platt,0.5088527911550533,0.03769744961573008,0.8971236494735298,0.02272059118744306,0.09397312235560534,0.1344762349803068,0.9239999999999999,0.07369181367347849,0.25515949860679715,0.878,0.14459684199943657
lightgbm,raw,0.5088527911550533,0.03769744961573008,0.8971236494735298,0.05704652062765325,0.21417815198167697,0.1344762349803068,0.9239999999999999,0.07369181367347849,0.25515949860679715,0.878,0.14459684199943657
logistic,platt,0.29927938127642584,0.12645773374886454,0.8306600396742092,0.03385916073006022,0.17052886615564114,0.08496395782800271,0.577,0.038557994452044816,0.14854268872089868,0.5065,0.08668261635368686
logistic,raw,0.29941291590769126,0.12645968260126667,0.830647472142689,0.13379883878829674,0.5406565091999217,0.08455855242259731,0.574,0.038047734332680244,0.14773187791008785,0.5035,0.0857455932253992
xgboost,platt,0.5318675589667331,0.04150660148229432,0.9064139340808872,0.022137607913464308,0.09145021811127663,0.13350836311570516,0.918,0.07957701836719738,0.25369601699699895,0.873,0.1592202143179506
xgboost,raw,0.5318675589667331,0.04150660148229432,0.9064139326776148,0.022104231640696526,0.09130365401506424,0.13350836311570516,0.918,0.07957701836719738,0.25369601699699895,0.873,0.1592202143179506
