n_test,prevalence,pr_auc,roc_auc,brier,logloss,precision_0.005,recall_0.005,value_capture_0.005,precision_0.01,recall_0.01,value_capture_0.01,precision_0.02,recall_0.02,value_capture_0.02,fold,model,calibration,train_n,val_n,cal_n
50000,0.03624,0.4538174561802728,0.85611505781898,0.11624342541413722,0.3928433183177233,0.896,0.12362030905077263,0.04934930688344718,0.848,0.23399558498896247,0.11698270607396904,0.643,0.35485651214128033,0.2724441462219558,1,logistic,raw,300000,40000,40000
50000,0.03624,0.4538174561802729,0.8561150578189801,0.025480843976396463,0.11097457351191733,0.896,0.12362030905077263,0.04934930688344718,0.848,0.23399558498896247,0.11698270607396904,0.643,0.35485651214128033,0.2724441462219558,1,logistic,platt,300000,40000,40000
50000,0.03624,0.5453076627748852,0.9064669059245695,0.049578838325098365,0.1940421646822996,0.92,0.12693156732891833,0.061928590707269145,0.882,0.2433774834437086,0.1208632216068619,0.736,0.40618101545253865,0.27628230564166806,1,lightgbm,raw,300000,40000,40000
50000,0.03624,0.5453076627748852,0.9064669059245695,0.022594839378237936,0.09297693662116198,0.92,0.12693156732891833,0.061928590707269145,0.882,0.2433774834437086,0.1208632216068619,0.736,0.40618101545253865,0.27628230564166806,1,lightgbm,platt,300000,40000,40000
50000,0.03624,0.5750226821461806,0.9125864142117399,0.02196863852441311,0.09082068502902985,0.928,0.1280353200883002,0.07267419144580915,0.88,0.24282560706401765,0.15026518261098762,0.774,0.4271523178807947,0.36797037485498374,1,xgboost,raw,300000,40000,40000
50000,0.03624,0.5750226821461806,0.9125864142117398,0.02168242633342743,0.09041914343833923,0.928,0.1280353200883002,0.07267419144580915,0.88,0.24282560706401765,0.15026518261098762,0.774,0.4271523178807947,0.36797037485498374,1,xgboost,platt,300000,40000,40000
50000,0.03422,0.320416801589133,0.8309185203702251,0.1247748106551374,0.4158296173930115,0.74,0.1081239041496201,0.04071396337214091,0.63,0.18410286382232613,0.10730697853305478,0.459,0.2682641729982466,0.20134853203537634,2,logistic,raw,300000,40000,40000
50000,0.03422,0.32041680158913294,0.8309185203702251,0.027688556405181326,0.11645481496563662,0.74,0.1081239041496201,0.040713963372140914,0.63,0.18410286382232613,0.10730697853305478,0.459,0.2682641729982466,0.20134853203537634,2,logistic,platt,300000,40000,40000
50000,0.03422,0.4627559528060721,0.8902006438223671,0.05558130366148291,0.21110249654283594,0.856,0.12507305669199298,0.06247111431249816,0.836,0.24430157802454705,0.13335634530312454,0.617,0.36060783167738164,0.2780064128284444,2,lightgbm,raw,300000,40000,40000
50000,0.03422,0.4627559528060721,0.8902006438223671,0.023769879966964027,0.09761310031413006,0.856,0.12507305669199298,0.06247111431249816,0.836,0.24430157802454705,0.13335634530312454,0.617,0.36060783167738164,0.2780064128284444,2,lightgbm,platt,300000,40000,40000
50000,0.03422,0.4812932977899686,0.901558981303381,0.023385507985949516,0.09552799165248871,0.876,0.12799532437171246,0.07472124316456376,0.826,0.2413793103448276,0.15676016819989347,0.642,0.37521917007597894,0.3326249146779479,2,xgboost,raw,300000,40000,40000
50000,0.03422,0.4812932977899686,0.901558981303381,0.023380732163786888,0.09550345689058304,0.876,0.12799532437171246,0.07472124316456376,0.826,0.2413793103448276,0.15676016819989347,0.642,0.37521917007597894,0.3326249146779479,2,xgboost,platt,300000,40000,40000
50000,0.0308,0.27616865465459484,0.8143960342175365,0.13660632020347035,0.47165900744661887,0.636,0.10324675324675325,0.06138547053787532,0.514,0.16688311688311688,0.11678153221113471,0.413,0.2681818181818182,0.18452505396878172,3,logistic,raw,300000,40000,40000
50000,0.0308,0.27553113488497155,0.8143963759105112,0.028123307368588552,0.12217371890619401,0.636,0.10324675324675325,0.06138547053787532,0.514,0.16688311688311688,0.11678153221113471,0.413,0.2681818181818182,0.18452505396878172,3,logistic,platt,300000,40000,40000
